	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Measure_Name	Data_Period_Business_Key	Estimated_Value	Unit_of_Measure_Code	Population (2017)
0	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-03	0.0	Count	1071706.0000000002
1	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-04	0.0	Count	1071706.0000000002
2	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-05	0.0	Count	1071706.0000000002
3	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-06	0.0	Count	1071706.0000000002
4	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-07	0.0	Count	1071706.0000000002
5	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-08	0.0	Count	1071706.0000000002
6	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-09	0.0	Count	1071706.0000000002
7	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-10	0.0	Count	1071706.0000000002
8	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-11	0.0	Count	1071706.0000000002
9	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-12	0.0	Count	1071706.0000000002
10	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-13	0.0	Count	1071706.0000000002
11	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-14	0.0	Count	1071706.0000000002
12	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-15	0.0	Count	1071706.0000000002
13	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-16	0.0	Count	1071706.0000000002
14	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-17	0.0	Count	1071706.0000000002
15	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-18	0.0	Count	1071706.0000000002
16	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-19	0.0	Count	1071706.0000000002
17	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-20	0.0	Count	1071706.0000000002
18	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-21	0.0	Count	1071706.0000000002
19	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-22	0.0	Count	1071706.0000000002
20	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-23	0.0	Count	1071706.0000000002
21	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-24	0.0	Count	1071706.0000000002
22	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-25	0.0	Count	1071706.0000000002
23	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-26	0.0	Count	1071706.0000000002
24	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-27	0.0	Count	1071706.0000000002
25	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-28	0.0	Count	1071706.0000000002
26	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-29	0.0	Count	1071706.0000000002
27	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-30	0.0	Count	1071706.0000000002
28	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-03-31	0.0	Count	1071706.0000000002
29	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-01	0.0	Count	1071706.0000000002
30	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-02	0.0	Count	1071706.0000000002
31	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-03	0.0	Count	1071706.0000000002
32	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-04	0.0	Count	1071706.0000000002
33	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-05	0.0	Count	1071706.0000000002
34	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-06	0.0	Count	1071706.0000000002
35	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-07	0.0	Count	1071706.0000000002
36	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-08	0.0	Count	1071706.0000000002
37	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-09	0.0	Count	1071706.0000000002
38	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-10	0.0	Count	1071706.0000000002
39	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-11	0.0	Count	1071706.0000000002
40	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-12	0.0	Count	1071706.0000000002
41	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-13	0.0	Count	1071706.0000000002
42	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-14	0.0	Count	1071706.0000000002
43	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-15	1.0	Count	1071706.0000000002
44	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-16	1.0	Count	1071706.0000000002
45	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-17	3.0	Count	1071706.0000000002
46	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-18	4.0	Count	1071706.0000000002
47	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-19	4.0	Count	1071706.0000000002
48	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-20	4.0	Count	1071706.0000000002
49	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-21	8.0	Count	1071706.0000000002
50	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-22	9.0	Count	1071706.0000000002
51	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-23	11.0	Count	1071706.0000000002
52	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-24	11.0	Count	1071706.0000000002
53	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-25	13.0	Count	1071706.0000000002
54	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-26	13.0	Count	1071706.0000000002
55	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-27	15.0	Count	1071706.0000000002
56	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-28	15.0	Count	1071706.0000000002
57	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-29	16.0	Count	1071706.0000000002
58	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-04-30	17.0	Count	1071706.0000000002
59	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-01	18.0	Count	1071706.0000000002
60	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-02	19.0	Count	1071706.0000000002
61	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-03	19.0	Count	1071706.0000000002
62	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-04	20.0	Count	1071706.0000000002
63	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-05	21.0	Count	1071706.0000000002
64	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-06	21.0	Count	1071706.0000000002
65	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-07	21.0	Count	1071706.0000000002
66	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-08	22.0	Count	1071706.0000000002
67	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-09	23.0	Count	1071706.0000000002
68	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-10	23.0	Count	1071706.0000000002
69	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-11	23.0	Count	1071706.0000000002
70	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-12	23.0	Count	1071706.0000000002
71	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-13	25.0	Count	1071706.0000000002
72	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-14	27.0	Count	1071706.0000000002
73	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-15	28.0	Count	1071706.0000000002
74	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-16	28.0	Count	1071706.0000000002
75	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-17	28.0	Count	1071706.0000000002
76	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-18	28.0	Count	1071706.0000000002
77	37183	Wake	NYTI_CNTY_COV02	COVID-19 Confirmed Deaths		2020-05-19	30.0	Count	1071706.0000000002
